Date,Winner,Loser,B365W,B365L,Year
2013-01-21,Murray A.,Simon G.,1.02,19.0,2013
2013-01-21,Federer R.,Raonic M.,1.11,7.0,2013
2013-01-22,Ferrer D.,Almagro N.,1.14,5.5,2013
2013-01-22,Djokovic N.,Berdych T.,1.16,5.0,2013
2013-01-23,Murray A.,Chardy J.,1.04,13.0,2013
2013-01-23,Federer R.,Tsonga J.W.,1.16,5.0,2013
2013-01-24,Djokovic N.,Ferrer D.,1.08,8.0,2013
2013-01-25,Murray A.,Federer R.,1.61,2.3,2013
2013-01-27,Djokovic N.,Murray A.,1.53,2.62,2013
2013-02-05,Darcis S.,Mannarino A.,2.62,1.44,2013
2013-02-05,Hajek J.,Sela D.,3.0,1.36,2013
2013-02-05,Nieminen J.,Serra F.,1.36,3.0,2013
2013-02-05,Hanescu V.,Olaso G.,1.33,3.25,2013
2013-02-05,Paire B.,Menendez-Maceiras A.,1.22,4.0,2013
2013-02-05,Monfils G.,Bemelmans R.,1.16,5.0,2013
2013-02-05,Stakhovsky S.,Mathieu P.H.,3.0,1.36,2013
2013-02-06,Troicki V.,Pouille L.,1.16,5.0,2013
2013-02-06,Brugues-Davi A.,Kukushkin M.,1.36,3.0,2013
2013-02-06,Benneteau J.,Ungur A.,1.04,13.0,2013
2013-02-06,Ito T.,Roger-Vasselin E.,3.75,1.25,2013
2013-02-06,Llodra M.,De Schepper K.,1.36,3.0,2013
2013-02-06,Nieminen J.,Davydenko N.,2.37,1.53,2013
2013-02-06,Paire B.,Darcis S.,1.36,3.0,2013
2013-02-07,Hajek J.,Troicki V.,3.75,1.25,2013
2013-02-07,Simon G.,Brugues-Davi A.,1.08,8.0,2013
2013-02-07,Stakhovsky S.,Ito T.,1.4,2.75,2013
2013-02-07,Llodra M.,Tipsarevic J.,2.1,1.66,2013
2013-02-07,Gasquet R.,Monfils G.,1.53,2.37,2013
2013-02-07,Benneteau J.,Hanescu V.,1.18,4.5,2013
2013-02-08,Llodra M.,Hajek J.,1.1,7.0,2013
2013-02-08,Nieminen J.,Stakhovsky S.,1.3,3.4,2013
2013-02-08,Paire B.,Simon G.,2.62,1.44,2013
2013-02-08,Gasquet R.,Benneteau J.,1.36,3.0,2013
2013-02-09,Paire B.,Llodra M.,2.5,1.5,2013
2013-02-09,Gasquet R.,Nieminen J.,1.22,4.0,2013
2013-02-10,Gasquet R.,Paire B.,1.25,4.0,2013
2013-02-04,Giraldo S.,Alund M.,1.33,3.25,2013
2013-02-04,Volandri F.,Mayer L.,2.87,1.38,2013
2013-02-05,Garin C.,Lajovic D.,6.5,1.11,2013
2013-02-05,Rufin G.,Ramirez-Hidalgo R.,1.4,2.75,2013
2013-02-05,Berlocq C.,Kuznetsov An.,1.44,2.62,2013
2013-02-05,Delbonis F.,Pella G.,1.3,3.4,2013
2013-02-05,Robredo T.,Riba P.,1.1,7.0,2013
2013-02-05,Zeballos H.,Schwartzman D.,1.57,2.25,2013
2013-02-05,Montanes A.,Massu N.,1.2,4.33,2013
2013-02-06,Gimeno-Traver D.,Sousa J.,1.36,3.0,2013
2013-02-06,Ramos A.,Dutra Silva R.,1.33,3.25,2013
2013-02-06,Lorenzi P.,Naso G.,1.57,2.25,2013
2013-02-06,Rufin G.,Monaco J.,4.0,1.22,2013
2013-02-06,Berlocq C.,Giraldo S.,1.44,2.62,2013
2013-02-06,Nadal R.,Delbonis F.,1.03,15.0,2013
2013-02-07,Ramos A.,Volandri F.,1.4,2.75,2013
2013-02-07,Zeballos H.,Andujar P.,1.5,2.5,2013
2013-02-07,Lorenzi P.,Robredo T.,2.25,1.57,2013
2013-02-07,Gimeno-Traver D.,Montanes A.,1.83,1.83,2013
2013-02-07,Chardy J.,Garin C.,1.1,7.0,2013
2013-02-08,Berlocq C.,Rufin G.,1.5,2.5,2013
2013-02-08,Zeballos H.,Ramos A.,2.25,1.57,2013
2013-02-08,Nadal R.,Gimeno-Traver D.,1.02,17.0,2013
2013-02-08,Chardy J.,Lorenzi P.,1.5,2.5,2013
2013-02-09,Zeballos H.,Berlocq C.,2.75,1.4,2013
2013-02-10,Nadal R.,Chardy J.,1.1,7.0,2013
2013-02-10,Zeballos H.,Nadal R.,17.0,1.02,2013
2013-02-05,Klizan M.,Viola M.,1.36,3.0,2013
2013-02-05,Devvarman S.,Berrer M.,4.0,1.22,2013
2013-02-05,Sijsling I.,Mektic N.,1.14,5.5,2013
2013-02-05,Kavcic B.,Bedene A.,2.25,1.57,2013
2013-02-05,Petzschner P.,Pavic M.,1.1,7.0,2013
2013-02-05,Zemlja G.,Bozoljac I.,1.72,2.0,2013
2013-02-05,Karlovic I.,Dimitrov G.,3.0,1.36,2013
2013-02-05,Rosol L.,Veger F.,1.16,5.0,2013
2013-02-06,Cipolla F.,Lacko L.,3.75,1.25,2013
2013-02-06,Haase R.,Veic A.,1.28,3.5,2013
2013-02-06,Baghdatis M.,Kamke T.,1.2,4.33,2013
2013-02-06,Dodig I.,Becker B.,1.53,2.37,2013
2013-02-06,Youzhny M.,Sijsling I.,1.44,2.62,2013
2013-02-07,Haase R.,Klizan M.,1.57,2.25,2013
2013-02-07,Melzer J.,Devvarman S.,1.33,3.25,2013
2013-02-07,Kavcic B.,Baghdatis M.,6.0,1.12,2013
2013-02-07,Rosol L.,Cipolla F.,1.33,3.25,2013
2013-02-07,Petzschner P.,Marcan D.,1.14,5.5,2013
2013-02-07,Cilic M.,Zemlja G.,1.12,6.0,2013
2013-02-07,Dodig I.,Karlovic I.,1.57,2.25,2013
2013-02-08,Melzer J.,Rosol L.,1.83,1.83,2013
2013-02-08,Haase R.,Petzschner P.,1.83,1.83,2013
2013-02-08,Youzhny M.,Dodig I.,1.5,2.5,2013
2013-02-08,Cilic M.,Kavcic B.,1.06,10.0,2013
2013-02-09,Melzer J.,Haase R.,1.57,2.25,2013
2013-02-09,Cilic M.,Youzhny M.,1.53,2.37,2013
2013-02-10,Cilic M.,Melzer J.,1.25,4.0,2013
2013-02-11,Hanescu V.,Janowicz J.,3.75,1.25,2013
2013-02-11,Klizan M.,Mathieu P.H.,2.2,1.61,2013
2013-02-11,Viola M.,Granollers M.,3.0,1.36,2013
2013-02-11,Simon G.,Brands D.,1.53,2.37,2013
2013-02-11,Dimitrov G.,Tomic B.,2.2,1.61,2013
2013-02-11,Sijsling I.,Tsonga J.W.,7.0,1.1,2013
2013-02-11,Davydenko N.,Mayer F.,1.28,3.5,2013
2013-02-12,De Bakker T.,Youzhny M.,5.0,1.16,2013
2013-02-12,Benneteau J.,Kamke T.,1.25,3.75,2013
2013-02-12,Gulbis E.,Haase R.,1.61,2.2,2013
2013-02-12,Del Potro J.M.,Monfils G.,1.2,4.33,2013
2013-02-12,Nieminen J.,Goffin D.,1.53,2.37,2013
2013-02-13,Bachinger M.,Seppi A.,4.33,1.2,2013
2013-02-13,Gasquet R.,Troicki V.,1.14,5.5,2013
2013-02-13,Baghdatis M.,Paire B.,1.57,2.25,2013
2013-02-13,Federer R.,Zemlja G.,1.02,19.0,2013
2013-02-13,Simon G.,Viola M.,1.1,7.0,2013
2013-02-13,Benneteau J.,Hanescu V.,1.16,5.0,2013
2013-02-13,Dimitrov G.,Davydenko N.,2.0,1.72,2013
2013-02-14,Nieminen J.,Bachinger M.,1.22,4.0,2013
2013-02-14,Baghdatis M.,Gasquet R.,2.62,1.44,2013
2013-02-14,Del Potro J.M.,Gulbis E.,1.18,4.5,2013
2013-02-14,Federer R.,De Bakker T.,1.01,21.0,2013
2013-02-14,Klizan M.,Sijsling I.,2.62,1.44,2013
2013-02-15,Dimitrov G.,Baghdatis M.,1.83,1.83,2013
2013-02-15,Del Potro J.M.,Nieminen J.,1.11,6.5,2013
2013-02-15,Benneteau J.,Federer R.,10.0,1.06,2013
2013-02-15,Simon G.,Klizan M.,1.36,3.0,2013
2013-02-16,Del Potro J.M.,Dimitrov G.,1.18,4.5,2013
2013-02-16,Benneteau J.,Simon G.,1.66,2.1,2013
2013-02-17,Del Potro J.M.,Benneteau J.,1.16,5.0,2013
2013-02-12,Malisse X.,Soeda G.,1.57,2.25,2013
2013-02-12,Levine J.,Klahn B.,1.25,3.75,2013
2013-02-12,Pospisil V.,Donskoy E.,2.75,1.4,2013
2013-02-12,Hewitt L.,Kavcic B.,1.4,2.75,2013
2013-02-12,Becker B.,Harrison R.,2.62,1.44,2013
2013-02-13,Matosevic M.,Sock J.,1.8,1.9,2013
2013-02-13,Istomin D.,Sweeting R.,1.4,2.75,2013
2013-02-13,Smyczek T.,Verdasco F.,2.75,1.4,2013
2013-02-13,Falla A.,Cipolla F.,1.36,3.0,2013
2013-02-13,Ebden M.,De Voest R.,1.66,2.1,2013
2013-02-13,Russell M.,Young D.,1.9,1.8,2013
2013-02-14,Johnson S.,Karlovic I.,2.1,1.66,2013
2013-02-14,Isner J.,Pospisil V.,1.36,3.0,2013
2013-02-14,Haas T.,Levine J.,1.44,2.62,2013
2013-02-14,Istomin D.,Becker B.,1.44,2.62,2013
2013-02-14,Falla A.,Matosevic M.,1.66,2.1,2013
2013-02-14,Malisse X.,Ebden M.,1.4,2.75,2013
2013-02-15,Johnson S.,Smyczek T.,2.1,1.66,2013
2013-02-15,Querrey S.,Hewitt L.,1.36,3.0,2013
2013-02-15,Raonic M.,Russell M.,1.16,5.0,2013
2013-02-15,Haas T.,Johnson S.,1.25,3.75,2013
2013-02-15,Isner J.,Malisse X.,1.36,3.0,2013
2013-02-16,Raonic M.,Istomin D.,1.25,3.75,2013
2013-02-16,Querrey S.,Falla A.,1.22,4.0,2013
2013-02-16,Haas T.,Isner J.,1.57,2.25,2013
2013-02-17,Raonic M.,Querrey S.,1.44,2.62,2013
2013-02-17,Raonic M.,Haas T.,1.53,2.5,2013
2013-02-11,Andujar P.,Giraldo S.,3.0,1.36,2013
2013-02-11,Alund M.,Mello R.,1.44,2.62,2013
2013-02-11,Bolelli S.,Robredo T.,2.5,1.5,2013
2013-02-12,Pella G.,Fognini F.,3.0,1.36,2013
2013-02-12,Berlocq C.,Kuznetsov An.,1.33,3.25,2013
2013-02-12,Ramos A.,Garcia-Lopez G.,1.3,3.4,2013
2013-02-12,Volandri F.,Gimeno-Traver D.,2.25,1.57,2013
2013-02-12,Bellucci T.,Clezar G.,1.12,6.0,2013
2013-02-13,Montanes A.,Lorenzi P.,2.1,1.66,2013
2013-02-13,Souza J.,Ramirez-Hidalgo R.,1.4,2.75,2013
2013-02-13,Capdeville P.,Zeballos H.,2.75,1.4,2013
2013-02-13,Nalbandian D.,Aguilar J.,1.25,3.75,2013
2013-02-13,Alund M.,Chardy J.,4.0,1.22,2013
